"insee_2017","bati","parc","cons","mais","app","pro","div","loc","dens"
"14165",5070,726566,66337,30,0,2,1,33,4.97457
"14166",17317,103042,92764,133,23,4,0,160,17.2482
"14167",109600,731586,503601,170,499,71,0,740,14.6942
"14168",1226,23387,17282,9,0,0,0,9,5.20764
"14169",296,442,443,1,0,1,0,2,45.1772
"14171",2200,68980,30247,12,0,0,0,12,3.96729
"14172",3263,32584,31753,39,0,1,0,40,12.5971
"14173",4843,196889,74355,31,0,2,0,33,4.43817
"14174",45071,789047,508159,183,6,27,4,220,4.32936
"14175",3148,34175,34193,22,0,0,0,22,6.43409
"14177",8901,143263,100360,83,0,3,0,86,8.56913
"14179",1770,70023,49591,16,0,0,0,16,3.22638
"14180",1378,27085,22205,8,0,1,0,9,4.0532
"14181",35100,186233,186312,290,54,21,1,366,19.6445
"14182",2580,31027,27459,14,0,0,0,14,5.09845
"14183",468,8598,8598,4,0,0,0,4,4.6522
"14184",1434,20260,20272,8,0,1,0,9,4.43959
"14185",1993,111207,45820,12,0,0,0,12,2.61892
"14191",36644,286662,225437,101,267,275,0,643,28.5224
"14193",3424,124953,54764,21,0,0,0,21,3.8346
"14194",7658,243628,168900,53,0,1,0,54,3.19716
"14195",1912,38065,25573,6,0,0,0,6,2.34622
"14196",1291,16088,16099,5,0,5,0,10,6.21168
"14197",8714,63789,59247,61,0,1,0,62,10.4647
"14198",2899,83744,69725,19,0,1,0,20,2.86841
"14200",21535,155889,155983,181,4,8,0,193,12.3731
"14202",10842,88139,76991,8,0,28,0,36,4.67585
"14203",4085,151273,38422,7,0,0,0,7,1.82187
